title,photo,update_date,discount_price,original_price,discount_amount,seller,comments_number,deal_score,url
Verizon Mobile Customers,https://static.slickdealscdn.com/attachment/1/8/8/9/0/2/6/200x200/13856294.thumb,about 18 hours ago,$75,$240,68%,Verizon,119 Comments,+103,https://slickdeals.net/f/16769744-verizon-mobile-customers-12-months-netflix-premium-free-w-starz-subscription-75-via-play?src=frontpage
Levi's Men's 559 Relaxed Straight Jeans ,https://static.slickdealscdn.com/attachment/1/8/6/3/2/3/2/200x200/13857293.thumb,about 18 hours ago,$20.40,$70,70%,Amazon,24 Comments,+68,https://slickdeals.net/f/16754831-levi-s-men-s-559-relaxed-straight-jeans-cash-select-sizes-23-25?src=frontpage
ASICS Men's Break Through Short ,https://static.slickdealscdn.com/attachment/8/0/4/2/5/200x200/13851875.thumb,about 19 hours ago,$12,$32,62%,Amazon,25 Comments,+19,https://slickdeals.net/f/16766126-asics-men-s-running-shorts-2-5-or-5in-inseam-through-1-2-split-or-break-through-9-95-at-amazon?src=frontpage
Lion Energy GO 20 Portable 20W Solar Panel,https://static.slickdealscdn.com/attachment/4/2/2/5/8/0/8/200x200/13855154.thumb,about 21 hours ago,$8.50,$10,15%,Lion Energy,59 Comments,+31,https://slickdeals.net/f/16768937-lion-energy-has-lion-energy-go-20-portable-20w-solar-panel-8-50?src=frontpage
ASUS B550-PLUS TUF AM4 ATX Motherboard ,https://static.slickdealscdn.com/attachment/1/6/8/2/5/2/0/200x200/13854911.thumb,about 21 hours ago,$330,$439,24%,Micro Center,29 Comments,+30,https://slickdeals.net/f/16769165-amd-ryzen-5-5600x3d-processor-asus-tuf-gaming-b550-plus-wifi-ii-ddr4-g-skill-ripjaws-v-16gb-ddr4-3200-kit-bundle-329-99-free-curbside-pickup-only?src=frontpage
Prime Members,https://static.slickdealscdn.com/attachment/4/5/4/3/2/5/200x200/13856381.thumb,about 21 hours ago,$60,$130,53%,Amazon,52 Comments,+37,https://slickdeals.net/f/16767212-deal-of-the-day-for-prime-members-echo-show-8-2nd-gen-2021-release-hd-smart-display-with-alexa-and-13-mp-camera-glacier-white-59-99?src=frontpage
Prime Members,https://static.slickdealscdn.com/attachment/1/9/1/2/6/8/2/200x200/13854083.thumb,about 22 hours ago,$14,$20,30%,Amazon,46 Comments,+50,https://slickdeals.net/f/16768850-2-pack-kmc-4-outlet-wifi-mini-smart-plugs-w-energy-monitoring-14-free-shipping-w-prime-or-on-25?src=frontpage
Prime Members,https://static.slickdealscdn.com/attachment/3/2/5/3/5/5/200x200/13857791.thumb,about 22 hours ago,$7.65,$14,45%,Amazon,38 Comments,+40,https://slickdeals.net/f/16767902-prime-members-ugreen-100w-usb-c-to-usb-c-cable-3-3-7-65-more?src=frontpage
24,https://static.slickdealscdn.com/attachment/4/5/4/3/2/5/200x200/13856144.thumb,about 22 hours ago,$100,$160,37%,Newegg,78 Comments,+44,https://slickdeals.net/f/16767557-24-000mah-anker-737-power-bank-w-140w-output-10-newegg-egift-card-100-free-shipping?src=frontpage
11' GoPlus Inflatable Stand Up Paddle Board w,https://static.slickdealscdn.com/attachment/2/8/8/3/8/3/8/0/200x200/13848836.thumb,about 22 hours ago,$100,$150,33%,Amazon,31 Comments,+49,https://slickdeals.net/f/16766930-11-goplus-inflatable-stand-up-paddle-board-w-paddle-pump-100-free-shipping?src=frontpage
MSI Mech Radeon RX 6650 XT 8GB GDDR6 PCIe 4,https://static.slickdealscdn.com/attachment/3/1/7/4/5/4/0/4/200x200/13851032.thumb,about 23 hours ago,$210,$360,41%,Newegg,20 Comments,+33,https://slickdeals.net/f/16767743-msi-mech-rx-6650-xt-8gb-gddr6-video-card-210-free-shipping?src=frontpage
Prime Members,https://static.slickdealscdn.com/attachment/3/0/4/4/1/0/9/7/200x200/13792664.thumb,about 24 hours ago,$60,$130,53%,Amazon,34 Comments,+27,https://slickdeals.net/f/16743869-prime-members-ergear-dual-gas-spring-arm-triple-monitor-stand-mount-up-to-27-quot-silver-or-black-60-free-shipping?src=frontpage
